ID,earthquake,pga_(g),CorrosionLvl_Long,CorrosionLvl_Trans,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce,SD_at_Teff,SD_Teff_xi,rhol,rhov,ALR,height_of_col,long_bar_diameter,ServciabilitySteel,ServiciabilityConcrete,DamageControlSteel,DamageControlConcrete,UltimateSteel,Ductility
0,RSN983_NORTHR_JGB022.AT2.g3,0.5712087,10,0,0.387720995,0.0127694,0.00179762,0.00261301,55.5,60,0.306796158,2.5,43.6875,452.3893421,48,0.541188422,7.020110894,0.004,0.016979244,0.049834061,1.150780524,-130.822,-3.74653,15.83905463,8.873108714,0.01,0.01,0.05,192,0.830097886,0,0,0,0,0,3.166638603
0,RSN983_NORTHR_JGB022.AT2.g3,0.5712087,20,0,0.390812012,0.0147597,0.00179167,0.00274685,51,60,0.306796158,2.5,43.6875,452.3893421,48,0.481056375,7.020110894,0.004,0.016989213,0.049834061,1.283862129,-117.891,-4.20224,17.57612112,9.61831737,0.01,0.01,0.05,192,0.782623792,0,0,0,0,0,3.901350615
0,RSN983_NORTHR_JGB022.AT2.g3,0.5712087,0,0,0.384702364,0.0125999,0.00178212,0.00247472,60,60,0.306796158,2.5,43.6875,452.3893421,48,0.601320469,7.020110894,0.004,0.016969275,0.049834061,1.091206401,-146.56,-3.77392,15.05044079,8.522593168,0.01,0.01,0.05,192,0.875,0,0,0,0,0,2.922149679
0,RSN983_NORTHR_JGB022.AT2.g3,0.5712087,5,0,0.386202817,0.0125176,0.00178997,0.00254184,57.75,60,0.306796158,2.5,43.6875,452.3893421,48,0.571254445,7.020110894,0.004,0.016974259,0.049834061,1.114355983,-138.363,-3.71562,15.35023729,8.659270763,0.01,0.01,0.05,192,0.852844505,0,0,0,0,0,3.003725645
0,RSN983_NORTHR_JGB022.AT2.g3,0.5712087,15,0,0.389257267,0.0135512,0.00180155,0.0026848,53.25,60,0.306796158,2.5,43.6875,452.3893421,48,0.511122399,7.020110894,0.004,0.016984228,0.049834061,1.208619648,-124.014,-3.91754,16.61076008,9.204349316,0.01,0.01,0.05,192,0.80671014,0,0,0,0,0,3.467349481
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,10,0,0.387720995,0.00305084,0.000999141,0.00124257,55.5,60,0.306796158,2.5,43.6875,452.3893421,48,0.541188422,7.020110894,0.004,0.016979244,0.049834061,0.69551807,-113.147,-1.18365,4.253029493,3.556921989,0.01,0.01,0.05,192,0.830097886,0,0,0,0,0,1.000443552
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,5,0,0.386202817,0.00286402,0.00102691,0.0012712,57.75,60,0.306796158,2.5,43.6875,452.3893421,48,0.571254445,7.020110894,0.004,0.016974259,0.049834061,0.672000399,-116.678,-1.13944,4.01291407,4.01291407,0.01,0.01,0.05,192,0.852844505,0,0,0,0,0,0.92112895
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,20,0,0.390812012,0.00347848,0.000940988,0.00116995,51,60,0.306796158,2.5,43.6875,452.3893421,48,0.481056375,7.020110894,0.004,0.016989213,0.049834061,0.751531521,-104.562,-1.27712,4.798145119,3.546011567,0.01,0.01,0.05,192,0.782623792,0,0,0,0,0,1.185675472
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,0,0,0.384702364,0.00272131,0.00104717,0.00129062,60,60,0.306796158,2.5,43.6875,452.3893421,48,0.601320469,7.020110894,0.004,0.016969275,0.049834061,0.650320054,120.522,1.10226,3.791557756,3.791557756,0.01,0.01,0.05,192,0.875,0,0,0,0,0,0.853480918
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,15,0,0.389257267,0.00325042,0.000966806,0.00120779,53.25,60,0.306796158,2.5,43.6875,452.3893421,48,0.511122399,7.020110894,0.004,0.016984228,0.049834061,0.721718574,-109.123,-1.22918,4.509555794,3.525440244,0.01,0.01,0.05,192,0.80671014,0,0,0,0,0,1.087926769
0,RSN599_WHITTIER.A_A-FLO020.AT2.g3,0.1154556,10,0,0.387720995,0.00266026,0.000884753,0.00107524,55.5,60,0.306796158,2.5,43.6875,452.3893421,48,0.541188422,7.020110894,0.004,0.016979244,0.049834061,0.670728042,-108.897,-1.05943,1.809781991,1.809781991,0.01,0.01,0.05,192,0.830097886,0,0,0,0,0,0.895450439
