ID,earthquake,pga_(g),CorrosionLvl_Long,CorrosionLvl_Trans,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce,SD_at_Teff,SD_Teff_xi,rhol,rhov,ALR,height_of_col,long_bar_diameter,ServciabilitySteel,ServiciabilityConcrete,DamageControlSteel,DamageControlConcrete,UltimateSteel,Ductility
0,RSN545_CHALFANT.B_B-BPL070.AT2.g3,0.04762951,15,0,1.573662225,0.000505271,0.00046649,0.000482274,53.25,60,0.441786467,2.5,67.625,4071.5136,72,1.043106936,6.896341132,0.004,0.016992106,0.059638752,1.554525094,-59.7703,-0.347057,0.86901579,0.86901579,0.03,0.01,0.2,432,1.152443057,0,0,0,0,0,0.093211458
0,RSN1193_CHICHI_CHY024-E.AT2.g3,0.28177,5,0,0.841540715,0.00548956,0.00313234,0.0035816,57.75,60,0.441786467,2.5,67.625,4071.5136,72,1.165825399,6.896341132,0.004,0.016983064,0.059638752,1.342550528,-793.527,-3.43671,12.39441997,7.663825969,0.03,0.01,0.2,288,1.218349293,0,0,0,0,0,1.858722191
0,RSN599_WHITTIER.A_A-FLO020.AT2.g3,0.1154556,10,0,0.788576328,0.000947035,0.000865714,0.000934288,55.5,60,0.441786467,2.5,67.625,4071.5136,72,2.164753688,6.896341132,0.004,0.01690946,0.059638752,0.836037407,347.221,0.583146,1.506571072,1.506571072,0.04,0.01,0.2,288,1.660195772,0,0,0,0,0,0.321110323
0,RSN1505_CHICHI_TCU068-E.AT2.g3,0.5116834,20,0,0.867717107,0.0706762,0.0191158,0.0226593,51,60,0.441786467,2.5,67.625,4071.5136,72,0.981747704,6.896341132,0.004,0.016996628,0.059638752,4.228939376,-837.93,-36.0073,189.0839439,95.95777553,0.03,0.01,0.2,288,1.118033989,1,1,1,1,1,22.35038896
0,RSN1605_DUZCE_DZC180.AT2.g3,0.4042971,20,0,0.867717107,0.0071432,0.00359107,0.00415318,51,60,0.441786467,2.5,67.625,4071.5136,72,0.981747704,6.896341132,0.004,0.016996628,0.059638752,1.575970367,699.275,4.17315,18.03870526,10.40434566,0.03,0.01,0.2,288,1.118033989,0,0,0,0,0,2.590350448
0,RSN1004_NORTHR_SPV270.AT2.g3,0.7525133,0,0,1.527023719,0.00564706,0.00315449,0.00360424,60,60,0.441786467,2.5,67.625,4071.5136,72,1.22718463,6.896341132,0.004,0.016978543,0.059638752,2.273066644,-578.663,-7.18406,22.20601523,14.09091306,0.03,0.01,0.2,432,1.25,0,0,0,0,0,1.696642895
0,RSN545_CHALFANT.B_B-BPL070.AT2.g3,0.04762951,5,0,0.841540715,0.000468645,0.00044973,0.000464701,57.75,60,0.441786467,2.5,67.625,4071.5136,72,1.165825399,6.896341132,0.004,0.016983064,0.059638752,0.82315603,80.0418,0.130317,0.359007099,0.359007099,0.03,0.01,0.2,288,1.218349293,0,0,0,0,0,0.0704811
0,RSN1517_CHICHI_TCU084-E.AT2.g3,1.008891,10,0,1.55763135,0.0210385,0.00862642,0.0101798,55.5,60,0.441786467,2.5,67.625,4071.5136,72,1.104466167,6.896341132,0.004,0.016987585,0.059638752,3.825337602,562.802,19.7886,49.87683985,26.68918999,0.03,0.01,0.2,432,1.185854123,1,1,0,0,0,5.083910419
0,RSN1500_CHICHI_TCU061-E.AT2.g3,0.1356281,10,0,0.788576328,0.00304371,0.00205509,0.00230039,55.5,60,0.441786467,2.5,67.625,4071.5136,72,2.164753688,6.896341132,0.004,0.01690946,0.059638752,1.043470719,-857.603,-2.24371,6.44764416,4.655251501,0.04,0.01,0.2,288,1.660195772,0,0,0,0,0,1.235502676
0,RSN1245_CHICHI_CHY102-E.AT2.g3,0.04137836,10,0,0.849993833,0.000834518,0.000733106,0.000779666,55.5,60,0.441786467,2.5,67.625,4071.5136,72,1.104466167,6.896341132,0.004,0.016987585,0.059638752,0.869442543,-240.627,-0.437065,1.079803228,1.079803228,0.03,0.01,0.2,288,1.185854123,0,0,0,0,0,0.247094016
0,RSN1605_DUZCE_DZC180.AT2.g3,0.4042971,0,0,0.769611003,0.00543868,0.0032713,0.00372926,60,60,0.441786467,2.5,67.625,4071.5136,72,2.405281875,6.896341132,0.004,0.016891738,0.059638752,1.189869662,1042.83,3.54758,11.41174507,7.135520068,0.04,0.01,0.2,288,1.75,0,0,0,0,0,1.784093476
0,RSN599_WHITTIER.A_A-FLO020.AT2.g3,0.1154556,0,0,1.527023719,0.000533288,0.000506079,0.000527614,60,60,0.441786467,2.5,67.625,4071.5136,72,1.22718463,6.896341132,0.004,0.016978543,0.059638752,1.495765162,78.0761,0.419725,1.046445691,1.046445691,0.03,0.01,0.2,432,1.25,0,0,0,0,0,0.099125486
0,RSN289_ITALY_A-CTR000.AT2.g3,0.1264284,0,0,2.347982023,0.0014465,0.00128687,0.00141322,60,60,0.441786467,2.5,67.625,4071.5136,72,1.22718463,6.896341132,0.004,0.016978543,0.059638752,2.615754744,240.885,3.96026,10.99988364,10.99988364,0.03,0.01,0.2,576,1.25,0,0,0,0,0,0.532838539
0,RSN545_CHALFANT.B_B-BPL070.AT2.g3,0.04762951,10,0,0.849993833,0.000484906,0.000464547,0.000480661,55.5,60,0.441786467,2.5,67.625,4071.5136,72,1.104466167,6.896341132,0.004,0.016987585,0.059638752,0.831344531,84.4463,0.140237,0.385619725,0.385619725,0.03,0.01,0.2,288,1.185854123,0,0,0,0,0,0.079282769
0,RSN1500_CHICHI_TCU061-E.AT2.g3,0.1356281,0,0,1.527023719,0.00352463,0.002178,0.00244978,60,60,0.441786467,2.5,67.625,4071.5136,72,1.22718463,6.896341132,0.004,0.016978543,0.059638752,2.017117565,-527.325,-5.15538,14.46720033,10.53000636,0.03,0.01,0.2,432,1.25,0,0,0,0,0,1.217534215
0,RSN1605_DUZCE_DZC180.AT2.g3,0.4042971,5,0,0.778916844,0.0053378,0.00322447,0.00367466,57.75,60,0.441786467,2.5,67.625,4071.5136,72,2.285017782,6.896341132,0.004,0.016900599,0.059638752,1.1856907,1041.68,3.51882,11.38048644,7.04522863,0.04,0.01,0.2,288,1.70568901,0,0,0,0,0,1.850430359
0,RSN1194_CHICHI_CHY025-E.AT2.g3,0.1616407,0,0,2.347982023,0.0136224,0.00341157,0.00394829,60,60,0.441786467,2.5,67.625,4071.5136,72,1.22718463,6.896341132,0.004,0.016978543,0.059638752,4.488811527,-460.687,-22.3043,111.7968797,63.07399548,0.03,0.01,0.2,576,1.25,0,0,0,0,0,3.000962217
0,RSN1195_CHICHI_CHY026-E.AT2.g3,0.07767285,15,0,2.561985683,0.0199764,0.00613097,0.00724461,53.25,60,0.441786467,2.5,67.625,4071.5136,72,0.844916618,6.896341132,0.004,0.01700671,0.059638752,5.994540796,-334.21,-28.857,123.3826096,66.75259922,0.02,0.01,0.2,576,1.037198751,1,1,0,0,0,4.419283692
0,RSN1231_CHICHI_CHY080-E.AT2.g3,0.8092498,20,0,1.590213716,0.0173731,0.00403906,0.00468721,51,60,0.441786467,2.5,67.625,4071.5136,72,0.981747704,6.896341132,0.004,0.016996628,0.059638752,3.683306563,-507.722,-16.5509,24.92106106,13.42509217,0.03,0.01,0.2,432,1.118033989,1,1,0,0,0,4.655050775
