earthquake,pga_(g),cover_cm,water_cement_ratio,time_yrs,CorrosionLvl_Long,CorrosionLvl_Transv,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce
RSN215_LIVERMOR_A-SRM070.AT2.g3,0.05513429,4,0.4,25,5.971173759,12.099405,0.363172583,0.00076619,0.000655803,0.000781383,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.472873433,23.5341,0.228813
RSN215_LIVERMOR_A-SRM070.AT2.g3,0.05513429,4,0.4,50,9.829996808,19.46383972,0.356191674,0.000761256,0.000630318,0.000753211,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.470395896,23.2165,0.223366
RSN215_LIVERMOR_A-SRM070.AT2.g3,0.05513429,4,0.4,75,13.06475663,25.50419091,0.349324954,0.000689574,0.000582948,0.000695328,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,0.460989363,-22.1414,-0.204588
RSN230_MAMMOTH.I_I-CVK090.AT2.g3,0.4194571,4,0.4,5,1.658948118,3.677540555,0.369502395,0.00847143,0.00218799,0.00312935,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.931628634,-54.7207,-2.06505
RSN230_MAMMOTH.I_I-CVK090.AT2.g3,0.4194571,4,0.4,25,5.971173759,12.099405,0.363172583,0.00678919,0.00185015,0.00251993,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.997329354,-51.0971,-2.20987
RSN230_MAMMOTH.I_I-CVK090.AT2.g3,0.4194571,4,0.4,50,9.829996808,19.46383972,0.356191674,0.00730682,0.00185892,0.00266836,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.989080004,-46.7762,-1.98967
RSN230_MAMMOTH.I_I-CVK090.AT2.g3,0.4194571,4,0.4,75,13.06475663,25.50419091,0.349324954,0.00867732,0.00189727,0.00283113,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,1.026954279,44.1474,2.02442
RSN231_MAMMOTH.I_I-LUL000.AT2.g3,0.4302934,4,0.4,5,1.658948118,3.677540555,0.369502395,0.00683839,0.00202382,0.00280646,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.794840486,-51.0243,-1.40162
RSN231_MAMMOTH.I_I-LUL000.AT2.g3,0.4302934,4,0.4,25,5.971173759,12.099405,0.363172583,0.00622288,0.00180515,0.00251413,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.847869153,-48.0202,-1.50098
RSN231_MAMMOTH.I_I-LUL000.AT2.g3,0.4302934,4,0.4,50,9.829996808,19.46383972,0.356191674,0.00585889,0.00164212,0.00230455,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.87445411,-44.8768,-1.49207
RSN231_MAMMOTH.I_I-LUL000.AT2.g3,0.4302934,4,0.4,75,13.06475663,25.50419091,0.349324954,0.00599509,0.00157508,0.00224358,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,0.880693344,-42.0602,-1.41845
RSN232_MAMMOTH.I_I-MLS254.AT2.g3,0.324282,4,0.4,5,1.658948118,3.677540555,0.369502395,0.00427255,0.00174871,0.00228046,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.668079162,50.2768,0.975701
RSN232_MAMMOTH.I_I-MLS254.AT2.g3,0.324282,4,0.4,25,5.971173759,12.099405,0.363172583,0.0040725,0.00160585,0.00210732,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.672190675,46.6148,0.915803
RSN232_MAMMOTH.I_I-MLS254.AT2.g3,0.324282,4,0.4,50,9.829996808,19.46383972,0.356191674,0.00384073,0.00145724,0.00192492,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.670352798,43.2423,0.844907
RSN232_MAMMOTH.I_I-MLS254.AT2.g3,0.324282,4,0.4,75,13.06475663,25.50419091,0.349324954,0.0037331,0.00131835,0.00176446,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,0.679137286,-40.9075,-0.820373
RSN285_ITALY_A-BAG000.AT2.g3,0.129652,4,0.4,5,1.658948118,3.677540555,0.369502395,0.00209245,0.00115504,0.00144184,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.576145466,-44.1127,-0.63668
RSN285_ITALY_A-BAG000.AT2.g3,0.129652,4,0.4,25,5.971173759,12.099405,0.363172583,0.00169408,0.000970104,0.00120538,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.587725581,-42.1526,-0.633092
RSN285_ITALY_A-BAG000.AT2.g3,0.129652,4,0.4,50,9.829996808,19.46383972,0.356191674,0.00176989,0.000958233,0.00119916,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.597344627,-40.1511,-0.622932
RSN285_ITALY_A-BAG000.AT2.g3,0.129652,4,0.4,75,13.06475663,25.50419091,0.349324954,0.00194226,0.000961822,0.00121829,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,0.603510402,-38.3634,-0.607547
RSN286_ITALY_A-BIS000.AT2.g3,0.0955313,4,0.4,5,1.658948118,3.677540555,0.369502395,0.00368203,0.00161895,0.00208709,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.636121093,48.9557,0.861343
RSN286_ITALY_A-BIS000.AT2.g3,0.0955313,4,0.4,25,5.971173759,12.099405,0.363172583,0.00377274,0.00155393,0.00202435,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.654918213,46.0751,0.859278
RSN286_ITALY_A-BIS000.AT2.g3,0.0955313,4,0.4,50,9.829996808,19.46383972,0.356191674,0.00380664,0.00148123,0.00194821,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.670271437,43.4203,0.848179
RSN286_ITALY_A-BIS000.AT2.g3,0.0955313,4,0.4,75,13.06475663,25.50419091,0.349324954,0.00380512,0.00140565,0.00186583,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,0.681609553,41.1533,0.831322
RSN289_ITALY_A-CTR000.AT2.g3,0.1264284,4,0.4,5,1.658948118,3.677540555,0.369502395,0.00339006,0.00145615,0.00188413,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.66135681,-49.434,-0.940136
RSN289_ITALY_A-CTR000.AT2.g3,0.1264284,4,0.4,25,5.971173759,12.099405,0.363172583,0.00412311,0.00155519,0.00205666,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.673184619,45.3713,0.894011
RSN289_ITALY_A-CTR000.AT2.g3,0.1264284,4,0.4,50,9.829996808,19.46383972,0.356191674,0.00424275,0.00149701,0.0020039,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.700513809,-44.0557,-0.940002
RSN289_ITALY_A-CTR000.AT2.g3,0.1264284,4,0.4,75,13.06475663,25.50419091,0.349324954,0.00629937,0.00164726,0.00234905,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,0.954151632,-43.0888,-1.70566
RSN290_ITALY_A-MER000.AT2.g3,0.1075987,4,0.4,5,1.658948118,3.677540555,0.369502395,0.00204032,0.00114939,0.00143108,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.55249192,39.6404,0.526118
RSN290_ITALY_A-MER000.AT2.g3,0.1075987,4,0.4,25,5.971173759,12.099405,0.363172583,0.00237522,0.001203,0.00151901,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.575740014,40.8897,0.589332
RSN290_ITALY_A-MER000.AT2.g3,0.1075987,4,0.4,50,9.829996808,19.46383972,0.356191674,0.00251389,0.00118091,0.0015072,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.592276956,39.4133,0.601154
RSN290_ITALY_A-MER000.AT2.g3,0.1075987,4,0.4,75,13.06475663,25.50419091,0.349324954,0.00232676,0.00108332,0.00138447,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,0.588147282,36.7148,0.552213
RSN291_ITALY_A-VLT000.AT2.g3,0.09609018,4,0.4,5,1.658948118,3.677540555,0.369502395,0.00354447,0.00155374,0.00200398,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.628748919,48.0799,0.82644
