ID,earthquake,pga_(g),CorrosionLvl_Long,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce,SD_at_Teff,rhol,rhov,height_of_column
0,RSN286_ITALY_A-BIS000.AT2.g3,0.0955313,20,0.566471083,0.000802732,0.000743548,0.00082485,34.8,60,0.441786467,2.5,67.625,2035.75204,72,1.9242255,6.896341132,0.004,0.016927183,0.052388497,0.666071279,322.484,0.687544,1.314421593,0.04,0.01,288
0,RSN232_MAMMOTH.I_I-MLS254.AT2.g3,0.324282,0,0.53956966,0.00114093,0.000791115,0.000879828,60,60,0.441786467,2.5,67.625,2035.75204,72,2.405281875,6.896341132,0.004,0.016891738,0.052388497,0.641155534,-514.431,-1.01626,2.09873523,0.04,0.01,288
0,RSN232_MAMMOTH.I_I-MLS254.AT2.g3,0.324282,15,0.559374131,0.000981015,0.000792278,0.000881171,41.1,60,0.441786467,2.5,67.625,2035.75204,72,2.044489594,6.896341132,0.004,0.016918322,0.052388497,0.667275952,-395.308,-0.845858,1.953505704,0.04,0.01,288
0,RSN232_MAMMOTH.I_I-MLS254.AT2.g3,0.324282,20,0.566471083,0.00099176,0.000839633,0.000935927,34.8,60,0.441786467,2.5,67.625,2035.75204,72,1.9242255,6.896341132,0.004,0.016927183,0.052388497,0.678590798,369.495,0.817665,1.890595163,0.04,0.01,288
0,RSN210_LIVERMOR_A-A3E146.AT2.g3,0.06489687,5,0.671587271,0.00053939,0.000487823,0.000519471,53.7,60,0.441786467,2.5,67.625,3053.628059,72,2.285017782,6.896341132,0.004,0.016900599,0.056013608,0.686673071,-189.507,-0.286276,0.762108649,0.04,0.01,288
0,RSN231_MAMMOTH.I_I-LUL000.AT2.g3,0.4302934,20,0.566471083,0.00207466,0.00129392,0.0014704,34.8,60,0.441786467,2.5,67.625,2035.75204,72,1.9242255,6.896341132,0.004,0.016927183,0.052388497,0.822344301,-507.577,-1.64953,5.493545946,0.04,0.01,288
0,RSN289_ITALY_A-CTR000.AT2.g3,0.1264284,10,0.552535176,0.00136568,0.000998842,0.00111912,47.4,60,0.441786467,2.5,67.625,2035.75204,72,2.164753688,6.896341132,0.004,0.01690946,0.052388497,0.680954784,-573.935,-1.27894,3.32010096,0.04,0.01,288
0,RSN212_LIVERMOR_A-DVD156.AT2.g3,0.1297461,20,0.697261884,0.000731944,0.000689692,0.000746008,34.8,60,0.441786467,2.5,67.625,3053.628059,72,1.9242255,6.896341132,0.004,0.016927183,0.056013608,0.749637745,266.873,0.480471,1.585701353,0.04,0.01,288
0,RSN286_ITALY_A-BIS000.AT2.g3,0.0955313,15,0.559374131,0.000735396,0.000707887,0.000783773,41.1,60,0.441786467,2.5,67.625,2035.75204,72,2.044489594,6.896341132,0.004,0.016918322,0.052388497,0.649188643,315.93,0.639858,1.332992493,0.04,0.01,288
0,RSN95_MANAGUA_A-ESO090.AT2.g3,0.3718347,10,0.679829205,0.00404159,0.0023543,0.00269059,47.4,60,0.441786467,2.5,67.625,3053.628059,72,2.164753688,6.896341132,0.004,0.01690946,0.056013608,1.018317631,796.029,2.64457,7.870840635,0.04,0.01,288
0,RSN285_ITALY_A-BAG000.AT2.g3,0.129652,15,0.559374131,0.00260324,0.00152405,0.00174106,41.1,60,0.441786467,2.5,67.625,2035.75204,72,2.044489594,6.896341132,0.004,0.016918322,0.052388497,0.775956202,614.174,1.77712,4.042929835,0.04,0.01,288
0,RSN286_ITALY_A-BIS000.AT2.g3,0.0955313,5,0.545938476,0.000678219,0.000618389,0.000681006,53.7,60,0.441786467,2.5,67.625,2035.75204,72,2.285017782,6.896341132,0.004,0.016900599,0.052388497,0.616584709,288.459,0.527012,1.36885682,0.04,0.01,288
0,RSN210_LIVERMOR_A-A3E146.AT2.g3,0.06489687,0,0.663635943,0.000534712,0.000489765,0.000522155,60,60,0.441786467,2.5,67.625,3053.628059,72,2.405281875,6.896341132,0.004,0.016891738,0.056013608,0.678949427,-193.359,-0.285561,0.755698024,0.04,0.01,288
0,RSN286_ITALY_A-BIS000.AT2.g3,0.0955313,10,0.552535176,0.000695279,0.00065469,0.000722586,47.4,60,0.441786467,2.5,67.625,2035.75204,72,2.164753688,6.896341132,0.004,0.01690946,0.052388497,0.631105261,298.518,0.57138,1.352884213,0.04,0.01,288
0,RSN285_ITALY_A-BAG000.AT2.g3,0.129652,10,0.552535176,0.00212485,0.00138992,0.00157472,47.4,60,0.441786467,2.5,67.625,2035.75204,72,2.164753688,6.896341132,0.004,0.01690946,0.052388497,0.70782921,649.429,1.56365,3.544921524,0.04,0.01,288
0,RSN215_LIVERMOR_A-SRM070.AT2.g3,0.05513429,10,0.679829205,0.000717038,0.000634032,0.000683922,47.4,60,0.441786467,2.5,67.625,3053.628059,72,2.164753688,6.896341132,0.004,0.01690946,0.056013608,0.724013298,-267.235,-0.448793,0.999667368,0.04,0.01,288
0,RSN212_LIVERMOR_A-DVD156.AT2.g3,0.1297461,0,0.663635943,0.000681352,0.000619903,0.000669036,60,60,0.441786467,2.5,67.625,3053.628059,72,2.405281875,6.896341132,0.004,0.016891738,0.056013608,0.701812351,-267.201,-0.421638,1.224141377,0.04,0.01,288
0,RSN212_LIVERMOR_A-DVD156.AT2.g3,0.1297461,15,0.68838053,0.000696673,0.000662908,0.000716171,41.1,60,0.441786467,2.5,67.625,3053.628059,72,2.044489594,6.896341132,0.004,0.016918322,0.056013608,0.735105942,262.585,0.4546,1.475840923,0.04,0.01,288
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,15,0.68838053,0.00262109,0.00176389,0.00199445,41.1,60,0.441786467,2.5,67.625,3053.628059,72,2.044489594,6.896341132,0.004,0.016918322,0.056013608,0.934250316,669.059,1.8709,6.572009962,0.04,0.01,288
0,RSN95_MANAGUA_A-ESO090.AT2.g3,0.3718347,5,0.671587271,0.00366547,0.00226171,0.00257336,53.7,60,0.441786467,2.5,67.625,3053.628059,72,2.285017782,6.896341132,0.004,0.016900599,0.056013608,0.947083521,869.976,2.50002,8.267440069,0.04,0.01,288
0,RSN231_MAMMOTH.I_I-LUL000.AT2.g3,0.4302934,0,0.663635943,0.00292695,0.00199736,0.00225627,60,60,0.441786467,2.5,67.625,3053.628059,72,2.405281875,6.896341132,0.004,0.016891738,0.056013608,0.848852299,937.795,2.16487,5.524030144,0.04,0.01,288
0,RSN289_ITALY_A-CTR000.AT2.g3,0.1264284,5,0.545938476,0.00114982,0.000845786,0.000942735,53.7,60,0.441786467,2.5,67.625,2035.75204,72,2.285017782,6.896341132,0.004,0.016900599,0.052388497,0.653326716,-501.702,-1.0291,2.892971032,0.04,0.01,288
0,RSN95_MANAGUA_A-ESO090.AT2.g3,0.3718347,0,0.663635943,0.00359839,0.00227862,0.00258763,60,60,0.441786467,2.5,67.625,3053.628059,72,2.405281875,6.896341132,0.004,0.016891738,0.056013608,0.905102613,957.005,2.51171,8.438302367,0.04,0.01,288
0,RSN289_ITALY_A-CTR000.AT2.g3,0.1264284,20,0.566471083,0.00194806,0.00124768,0.00141571,34.8,60,0.441786467,2.5,67.625,2035.75204,72,1.9242255,6.896341132,0.004,0.016927183,0.052388497,0.816480429,-528.029,-1.69161,5.654254501,0.04,0.01,288
0,RSN230_MAMMOTH.I_I-CVK090.AT2.g3,0.4194571,5,0.671587271,0.00351892,0.00221381,0.00251524,53.7,60,0.441786467,2.5,67.625,3053.628059,72,2.285017782,6.896341132,0.004,0.016900599,0.056013608,0.934685303,868.485,2.43082,4.575417173,0.04,0.01,288
0,RSN215_LIVERMOR_A-SRM070.AT2.g3,0.05513429,5,0.671587271,0.000696775,0.000623901,0.000672991,53.7,60,0.441786467,2.5,67.625,3053.628059,72,2.285017782,6.896341132,0.004,0.016900599,0.056013608,0.712302487,-266.314,-0.432895,0.966759988,0.04,0.01,288
0,RSN232_MAMMOTH.I_I-MLS254.AT2.g3,0.324282,15,0.68838053,0.000985162,0.000816702,0.000892068,41.1,60,0.441786467,2.5,67.625,3053.628059,72,2.044489594,6.896341132,0.004,0.016918322,0.056013608,0.774970074,-374.85,-0.721252,1.642469977,0.04,0.01,288
0,RSN210_LIVERMOR_A-A3E146.AT2.g3,0.06489687,20,0.697261884,0.000550777,0.000550458,0.00058836,34.8,60,0.441786467,2.5,67.625,3053.628059,72,1.9242255,6.896341132,0.004,0.016927183,0.056013608,0.71802876,196.621,0.324768,0.770083385,0.04,0.01,288
0,RSN289_ITALY_A-CTR000.AT2.g3,0.1264284,0,0.53956966,0.00109009,0.000896653,0.00100111,60,60,0.441786467,2.5,67.625,2035.75204,72,2.405281875,6.896341132,0.004,0.016891738,0.052388497,0.634636877,456.837,0.884225,2.604026124,0.04,0.01,288
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,10,0.679829205,0.00240445,0.00170536,0.00192145,47.4,60,0.441786467,2.5,67.625,3053.628059,72,2.164753688,6.896341132,0.004,0.01690946,0.056013608,0.897437215,-735.031,-1.89659,6.529719419,0.04,0.01,288
0,RSN210_LIVERMOR_A-A3E146.AT2.g3,0.06489687,15,0.68838053,0.000547212,0.000530777,0.00056675,41.1,60,0.441786467,2.5,67.625,3053.628059,72,2.044489594,6.896341132,0.004,0.016918322,0.056013608,0.706070361,193.278,0.308701,0.772833817,0.04,0.01,288
