mainshock_rsn,horizontal_1_filename,Horizontal_file_2,dt_horizontal1,npt_horizontal1
1541,RSN1541_CHICHI_TCU116-E.AT2.g3,RSN1541_CHICHI_TCU116-N.AT2.g3,0.005,18000
1542,RSN1542_CHICHI_TCU117-E.AT2.g3,RSN1542_CHICHI_TCU117-N.AT2.g3,0.005,18000
1543,RSN1543_CHICHI_TCU118-E.AT2.g3,RSN1543_CHICHI_TCU118-N.AT2.g3,0.005,18000
1545,RSN1545_CHICHI_TCU120-E.AT2.g3,RSN1545_CHICHI_TCU120-N.AT2.g3,0.005,18000
1546,RSN1546_CHICHI_TCU122-E.AT2.g3,RSN1546_CHICHI_TCU122-N.AT2.g3,0.005,18000
1547,RSN1547_CHICHI_TCU123-E.AT2.g3,RSN1547_CHICHI_TCU123-N.AT2.g3,0.005,18000
1549,RSN1549_CHICHI_TCU129-E.AT2.g3,RSN1549_CHICHI_TCU129-N.AT2.g3,0.005,18000
1550,RSN1550_CHICHI_TCU136-N.AT2.g3,RSN1550_CHICHI_TCU136-W.AT2.g3,0.004,22500
1551,RSN1551_CHICHI_TCU138-N.AT2.g3,RSN1551_CHICHI_TCU138-W.AT2.g3,0.004,37500
1552,RSN1552_CHICHI_TCU140-N.AT2.g3,RSN1552_CHICHI_TCU140-W.AT2.g3,0.004,37500
1553,RSN1553_CHICHI_TCU141-N.AT2.g3,RSN1553_CHICHI_TCU141-W.AT2.g3,0.004,37500
1554,RSN1554_CHICHI_TCU145-N.AT2.g3,RSN1554_CHICHI_TCU145-W.AT2.g3,0.004,37500
1581,RSN1581_CHICHI_TTN031-E.AT2.g3,RSN1581_CHICHI_TTN031-N.AT2.g3,0.005,18000
1586,RSN1586_CHICHI_TTN041-N.AT2.g3,RSN1586_CHICHI_TTN041-W.AT2.g3,0.004,31000
1605,RSN1605_DUZCE_DZC180.AT2.g3,RSN1605_DUZCE_DZC270.AT2.g3,0.005,5177
