,SD_teff_xi,Number of Analyses,Collapses_LS,Collapses_DC
0,1.0,4472,0,0
1,3.0,4922,0,0
2,5.0,2556,3,0
3,7.0,1220,5,0
4,9.0,698,18,0
5,11.0,582,62,0
6,13.0,547,60,0
7,15.0,281,33,0
8,17.0,208,51,0
9,19.0,136,34,0
10,21.0,130,46,1
11,23.0,117,49,1
12,25.0,96,48,1
13,27.0,68,26,1
14,29.0,60,30,0
15,31.0,62,37,2
16,33.0,60,39,1
17,35.0,34,23,0
18,37.0,32,25,0
19,39.0,28,20,1
20,41.0,27,23,0
21,43.0,25,20,4
22,45.0,14,11,2
23,47.0,17,12,2
24,49.0,19,14,1
25,51.0,14,13,1
26,53.0,18,16,4
27,55.0,32,31,6
28,57.0,20,19,1
29,59.0,13,12,1
30,61.0,7,7,2
31,63.0,7,5,1
32,65.0,9,7,2
33,67.0,8,8,1
34,69.0,6,6,1
35,71.0,4,4,2
36,73.0,3,3,0
37,75.0,5,5,3
38,77.0,4,4,1
39,79.0,2,2,0
40,81.0,0,0,0
41,83.0,2,2,1
42,85.0,1,1,0
43,87.0,2,2,1
44,89.0,5,4,3
45,91.0,2,2,1
46,93.0,0,0,0
47,95.0,2,2,0
48,97.0,3,3,3
49,99.0,3,3,1
50,101.0,6,6,6
51,103.0,3,3,2
52,105.0,8,8,2
53,107.0,4,4,1
54,109.0,6,6,2
55,111.0,3,3,0
56,113.0,4,4,1
57,115.0,4,4,1
58,117.0,5,5,1
59,119.0,2,2,1
60,121.0,2,2,1
61,123.0,0,0,0
62,125.0,0,0,0
63,127.0,2,2,0
64,129.0,3,3,2
65,131.0,1,1,0
66,133.0,1,1,1
67,135.0,1,1,1
68,137.0,0,0,0
69,139.0,0,0,0
70,141.0,2,2,1
71,143.0,1,1,1
72,145.0,0,0,0
73,147.0,0,0,0
74,149.0,1,1,1
75,151.0,1,1,1
76,153.0,0,0,0
77,155.0,0,0,0
78,157.0,2,2,2
79,159.0,0,0,0
80,161.0,1,1,1
81,163.0,1,1,1
82,165.0,1,1,1
83,167.0,1,1,0
84,169.0,0,0,0
85,171.0,0,0,0
86,173.0,1,1,1
87,175.0,4,4,4
88,177.0,6,6,5
89,179.0,0,0,0
90,181.0,0,0,0
91,183.0,0,0,0
92,185.0,0,0,0
93,187.0,0,0,0
94,189.0,0,0,0
95,191.0,0,0,0
96,193.0,1,1,0
97,195.0,0,0,0
98,197.0,0,0,0
99,199.0,0,0,0
100,201.0,0,0,0
101,203.0,0,0,0
102,205.0,1,1,0
103,207.0,0,0,0
104,209.0,0,0,0
105,211.0,0,0,0
106,213.0,0,0,0
107,215.0,0,0,0
108,217.0,0,0,0
109,219.0,0,0,0
110,221.0,0,0,0
111,223.0,0,0,0
112,225.0,0,0,0
113,227.0,0,0,0
114,229.0,0,0,0
115,231.0,0,0,0
116,233.0,0,0,0
117,235.0,0,0,0
118,237.0,1,1,1
119,239.0,0,0,0
120,241.0,0,0,0
121,243.0,0,0,0
122,245.0,0,0,0
123,247.0,0,0,0
