,Unnamed: 0,ID,earthquake,pga_(g),CorrosionLvl_Long,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce,SD_at_Teff,rhol,rhov,height_of_column,"SD_Teff,xi",LS_collapse,DC_collapse
64715,64715,0,RSN1004_NORTHR_SPV270.AT2.g3,0.7525133,5,0.864956311,0.0136968,0.00203198,0.00285396,53.7,60,0.441786467,2.5,67.625,1017.87602,72,0.746128255,6.896341132,0.004,0.017013989,0.048763386,2.33965078,207.598,10.9221,21.27492945,0.01,0.01,432,12.0446412,0,0
86016,86016,0,RSN1547_CHICHI_TCU123-E.AT2.g3,0.1516146,5,1.087540641,0.0116857,0.00161841,0.00247789,53.7,60,0.306796158,2.5,43.6875,452.3893421,48,0.571254445,7.020110894,0.004,0.016974259,0.049834061,2.718697647,65.1164,10.4082,41.53114381,0.01,0.01,384,24.36007537,0,0
60366,60366,0,RSN1197_CHICHI_CHY028-E.AT2.g3,0.6363748,5,0.596634162,0.0114664,0.00365484,0.00463635,53.7,60,0.306796158,2.5,43.6875,452.3893421,48,1.165825399,7.020110894,0.004,0.016875688,0.049834061,1.240247929,231.576,7.70325,23.46744181,0.04,0.01,288,13.23942244,0,0
14861,14861,0,RSN620_WHITTIER.A_A-GLP177.AT2.g3,0.3043283,5,0.340580015,0.00185143,0.0010189,0.00120492,53.7,60,0.306796158,2.5,43.6875,452.3893421,48,0.944318573,7.020110894,0.004,0.01691241,0.049834061,0.468789402,-197.609,-0.93913,2.830563068,0.03,0.01,192,2.830563068,0,0
52772,52772,0,RSN1245_CHICHI_CHY102-E.AT2.g3,0.04137836,5,2.083478195,0.000856477,0.000748185,0.000803556,53.7,60,0.306796158,2.5,43.6875,1809.557368,48,0.746128255,7.020110894,0.004,0.016945268,0.060517653,2.090990797,-48.7257,-1.15177,2.539411411,0.02,0.01,384,2.539411411,0,0
37176,37176,0,RSN695_WHITTIER.A_A-RO3000.AT2.g3,0.2041525,5,0.704177562,0.000326317,0.000301332,0.00033178,53.7,60,0.441786467,2.5,67.625,1017.87602,72,2.285017782,6.896341132,0.004,0.016900599,0.048763386,0.782500328,94.8147,0.557989,1.586905942,0.04,0.01,432,1.586905942,0,0
67745,67745,0,RSN1209_CHICHI_CHY047-N.AT2.g3,0.1813295,5,1.084222945,0.0121772,0.00479137,0.00559725,53.7,60,0.441786467,2,85.625,6361.725124,90,0.746128255,6.875035262,0.004,0.01703378,0.059490283,2.470479132,824.824,7.74149,24.36907863,0.01,0.01,360,13.40495823,0,0
64379,64379,0,RSN1205_CHICHI_CHY041-E.AT2.g3,0.3029707,5,0.969219133,0.00329966,0.00219783,0.00248513,53.7,60,0.441786467,2.5,67.625,4071.504079,72,0.746128255,6.896341132,0.004,0.017013989,0.059638718,1.432147239,442.616,2.18134,5.621849256,0.01,0.01,288,3.966063115,0,0
18562,18562,0,RSN598_WHITTIER.A_A-TUJ262.AT2.g3,0.1278607,5,1.604536203,0.000409199,0.000368967,0.000389562,53.7,60,0.306796158,2.5,43.6875,1357.168026,48,1.165825399,7.020110894,0.004,0.016875688,0.056956456,1.588148208,-24.8954,-0.45263,1.117056287,0.04,0.01,384,1.117056287,0,0
73864,73864,0,RSN1500_CHICHI_TCU061-E.AT2.g3,0.1356281,5,0.662344416,0.00229714,0.00105682,0.00127007,53.7,60,0.306796158,2.5,43.6875,452.3893421,48,0.746128255,7.020110894,0.004,0.016945268,0.049834061,1.028775418,-117.507,-2.68948,6.243967287,0.02,0.01,288,4.969682441,0,0
31372,31372,0,RSN599_WHITTIER.A_A-FLO020.AT2.g3,0.1154556,5,0.841579186,0.00102608,0.000801302,0.000857136,53.7,60,0.441786467,2.5,67.625,4071.504079,72,1.165825399,6.896341132,0.004,0.016983064,0.059638718,0.896562728,-320.194,-0.618437,1.621569183,0.03,0.01,288,1.621569183,0,0
