,SD_teff_xi,Number of Analyses,Collapses_LS_steel,Collapses_LS_concrete,Collapses_DC_steel,Collapses_DC_concrete,Collapses_ultiamte
0,1.0,96,0,0,0,0,0
1,3.0,50,0,0,0,0,0
2,5.0,45,0,0,0,0,0
3,7.0,53,2,6,0,0,0
4,9.0,29,0,3,0,0,0
5,11.0,35,7,11,0,0,0
6,13.0,34,9,15,0,0,2
7,15.0,33,2,4,0,0,0
8,17.0,14,3,3,0,0,1
9,19.0,9,6,6,0,0,1
10,21.0,16,9,14,0,1,3
11,23.0,29,16,24,0,1,2
12,25.0,29,21,26,0,0,3
13,27.0,16,11,12,0,0,1
14,29.0,18,12,17,1,1,3
15,31.0,20,14,16,0,0,3
16,33.0,14,10,11,0,0,3
17,35.0,13,8,12,0,0,2
18,37.0,17,10,14,2,2,4
19,39.0,16,12,16,1,2,5
20,41.0,9,5,8,1,1,3
21,43.0,6,5,6,0,0,2
22,45.0,12,10,12,0,0,0
23,47.0,3,1,3,0,0,0
24,49.0,4,1,3,1,1,1
25,51.0,4,3,4,0,0,1
26,53.0,4,4,4,1,1,3
27,55.0,6,6,6,1,2,3
28,57.0,9,9,9,1,4,5
29,59.0,3,3,3,0,0,1
30,61.0,4,1,3,0,0,0
31,63.0,3,3,3,0,0,0
32,65.0,1,1,1,0,0,0
33,67.0,1,1,1,0,0,0
34,69.0,3,1,3,0,0,0
35,71.0,2,2,2,0,0,1
36,73.0,3,3,3,0,1,2
37,75.0,4,4,4,2,2,2
38,77.0,0,0,0,0,0,0
39,79.0,1,1,1,1,1,1
40,81.0,0,0,0,0,0,0
41,83.0,0,0,0,0,0,0
42,85.0,0,0,0,0,0,0
43,87.0,0,0,0,0,0,0
44,89.0,1,1,1,1,1,1
45,91.0,5,5,5,2,3,5
46,93.0,3,3,3,2,2,2
47,95.0,1,1,1,0,0,0
48,97.0,2,2,2,0,0,1
49,99.0,0,0,0,0,0,0
50,101.0,2,2,2,2,2,2
51,103.0,0,0,0,0,0,0
52,105.0,2,2,2,1,0,2
53,107.0,3,3,3,1,1,3
54,109.0,4,4,4,1,0,3
55,111.0,1,1,1,0,0,0
56,113.0,1,1,1,1,0,1
57,115.0,3,3,3,1,0,3
58,117.0,0,0,0,0,0,0
59,119.0,3,3,3,2,2,3
60,121.0,1,1,1,0,0,1
61,123.0,0,0,0,0,0,0
62,125.0,0,0,0,0,0,0
63,127.0,2,2,2,1,1,2
64,129.0,4,4,4,3,2,4
65,131.0,1,1,1,0,0,0
66,133.0,0,0,0,0,0,0
67,135.0,1,1,1,0,0,1
68,137.0,0,0,0,0,0,0
69,139.0,0,0,0,0,0,0
70,141.0,0,0,0,0,0,0
71,143.0,0,0,0,0,0,0
72,145.0,1,1,1,1,1,1
73,147.0,1,1,1,1,1,1
74,149.0,0,0,0,0,0,0
75,151.0,1,1,1,0,1,1
76,153.0,0,0,0,0,0,0
77,155.0,1,1,1,0,1,1
78,157.0,0,0,0,0,0,0
79,159.0,2,2,2,1,1,2
80,161.0,0,0,0,0,0,0
81,163.0,0,0,0,0,0,0
82,165.0,0,0,0,0,0,0
83,167.0,0,0,0,0,0,0
84,169.0,0,0,0,0,0,0
85,171.0,1,1,1,1,1,1
86,173.0,3,3,3,3,3,3
87,175.0,3,3,3,2,2,3
88,177.0,5,5,5,5,5,5
89,179.0,1,1,1,1,0,1
90,181.0,0,0,0,0,0,0
91,183.0,0,0,0,0,0,0
92,185.0,0,0,0,0,0,0
93,187.0,1,1,1,0,0,1
94,189.0,0,0,0,0,0,0
95,191.0,0,0,0,0,0,0
96,193.0,0,0,0,0,0,0
97,195.0,0,0,0,0,0,0
98,197.0,0,0,0,0,0,0
99,199.0,0,0,0,0,0,0
100,201.0,0,0,0,0,0,0
101,203.0,0,0,0,0,0,0
102,205.0,0,0,0,0,0,0
103,207.0,0,0,0,0,0,0
104,209.0,0,0,0,0,0,0
105,211.0,0,0,0,0,0,0
106,213.0,0,0,0,0,0,0
107,215.0,0,0,0,0,0,0
108,217.0,0,0,0,0,0,0
109,219.0,0,0,0,0,0,0
110,221.0,0,0,0,0,0,0
111,223.0,0,0,0,0,0,0
112,225.0,0,0,0,0,0,0
113,227.0,0,0,0,0,0,0
114,229.0,0,0,0,0,0,0
115,231.0,0,0,0,0,0,0
116,233.0,0,0,0,0,0,0
117,235.0,0,0,0,0,0,0
118,237.0,0,0,0,0,0,0
119,239.0,0,0,0,0,0,0
120,241.0,0,0,0,0,0,0
121,243.0,0,0,0,0,0,0
122,245.0,0,0,0,0,0,0
123,247.0,0,0,0,0,0,0
